ID: efdf7691-bbe4-49d8-a58c-32c66fc28ca9 - Name: Fresh Mango - Cat: null - Img: https://images.unsplash.com/photo-1553284965-83fd3e82fa5a?auto=format&fit=crop&w=800&q=80
ID: 0b37360c-e7de-4cae-b755-db65cf4a75ea - Name: Banana - Cat: Fruits & Vegetables - Img: https://images.unsplash.com/photo-1528825871115-3581a5387919?auto=format&fit=crop&w=800&q=80
ID: 38c18d6f-fd2a-4330-8f45-005329f1bfc0 - Name: Apple - Cat: Fruits & Vegetables - Img: https://source.unsplash.com/featured/?apple
ID: 22cfb75c-cb28-4805-8b13-64a8947f5340 - Name: Mango - Cat: Fruits & Vegetables - Img: https://loremflickr.com/400/400/mango,fruit?lock=1
ID: d62b55b0-4dab-410b-900b-dbaffc4d8926 - Name: Tomato - Cat: Fruits & Vegetables - Img: https://loremflickr.com/400/400/tomato,vegetable?lock=3
ID: dbeaf837-400b-4e6e-a725-da925714ecca - Name: Tomatoes - Cat: null - Img: https://loremflickr.com/400/400/tomato,vegetable?lock=3
ID: 54f276a3-2c2f-43b7-905a-a5b3d0ebfc18 - Name: Potato - Cat: Fruits & Vegetables - Img: https://loremflickr.com/400/400/potato,vegetable?lock=4
ID: 5b0d9697-5c83-41bd-a5f1-09f8c97f90ab - Name: Potatoes - Cat: null - Img: https://loremflickr.com/400/400/potato,vegetable?lock=4
ID: 43448612-f713-4578-9829-67ba8ad50652 - Name: Onion - Cat: Fruits & Vegetables - Img: https://loremflickr.com/400/400/onion,vegetable?lock=5
ID: 48fd36bd-6dc1-4e7a-9e84-271dccd54729 - Name: Onions - Cat: null - Img: https://loremflickr.com/400/400/onion,vegetable?lock=5
ID: dcf1cbc5-fa42-4ab1-a1d9-b402a5a86fbf - Name: Whole Milk - Cat: null - Img: https://loremflickr.com/400/400/milk,glass?lock=10
ID: 31997cbd-b0ef-4c2e-b6d1-cb36b15d2148 - Name: Monaco Classic Crackers - Cat: null - Img: https://loremflickr.com/400/400/cracker,cookie?lock=17
ID: 773390a3-4e62-4a4e-ac2c-7cb93b367154 - Name: Hide & Seek Chocolate Chips - Cat: null - Img: https://loremflickr.com/400/400/chocolate,cookie?lock=18
ID: e27f2296-abc8-48a4-8cac-07d0093026b1 - Name: Parle-G Biscuits - Cat: null - Img: https://loremflickr.com/400/400/chocolate,cookie?lock=18
ID: bb8c79e6-b60d-41f5-a2ee-6f692613df79 - Name: Maggi 2-Minute Noodles - Cat: null - Img: https://loremflickr.com/400/400/noodles,food?lock=19
ID: a610ad37-0492-4869-a95f-d1a493c10769 - Name: Tata Tea Premium - Cat: null - Img: https://loremflickr.com/400/400/tea,cup?lock=20
ID: d0f52873-aa42-44b6-8490-e866d4ceef69 - Name: Nescafe Classic Coffee - Cat: null - Img: https://loremflickr.com/400/400/coffee,cup?lock=21
